id_str,created_at,text,screen_name,rtfrom,cluster
1577045361637879808,Mon Oct 03 21:18:08 +0000 2022,"URGENTE  - DIANTE DAS MUITAS DENÚNCIAS DE FRAUDE, CABE A APLICAÇÃO  DE MEDIDAS DE EXCEÇÃO, COM APOIO DAS FFAA,  PARA PRORROGAR O INÍCIO SEGUNDO TURNO DAS ELEIÇÕES ATÉ A IMPLEMENTAÇÃO DO VOTO IMPRESSO, VIA EMENDA CONSTITUCIONAL EM REGIME DE URGÊNCIA. RETUITEM - Repassem.",1950_moreno,AirtonC72112182,0
1577441994452127750,Tue Oct 04 23:34:13 +0000 2022,"LULADRÃO QUE NEM SAIA DE CASA OBTÉM MAIS 37 MILHÕES DE VOTOS, PORQUE NÃO QUEREM VOTO IMPRESSO, QUE APOSTAR, BOLSONARO PERDER A ELEIÇÃO, LOGO SERÁ APROVADO O VOTO IMPRESSO, BRASILEIRO É FROUXO, EXÉRCITO CAMBADAS DE FROUXOS, NÃO CULPEM AS PESQUISAS, FDPS.",1950_moreno,1950_moreno,0
1577805634715664384,Wed Oct 05 23:39:12 +0000 2022,"SE NÃO HOUVER O VOTO IMPRESSO O PRESIDENTE BOLSONARO NÃO SERÁ REELEITO, ESCUTEM O QUE ESTOU DIZENDO, ESTÁ TUDO ARMADO COM TSE COM AS URNAS ELETRÔNICAS E AS FORÇAS ARMADAS ESTÁ CEGA OU NÃO ENTENDI DE CIBERNÉTICAS.",1950_moreno,1950_moreno,0
1577990914823405570,Thu Oct 06 11:55:26 +0000 2022,"Curioso é como parlamentares da base aliada preferem gastar tempo com uma CPI dos Institutos de Pesquisa em vez de lutar por um decreto legislativo para aprovar o voto impresso pela urna eletrônica, para contagem 100% em cada uma das 472.075 seções eleitorais. Santo Algoritmo! https://t.co/uAJKqN3YFY",1950_moreno,alertatotal,0
1577992816436953091,Thu Oct 06 12:02:59 +0000 2022,"NÃO ADIANTA FAZER INVESTIGAÇÃO SOBRE ESSES INSTITUTOS DE PESQUISAS QUE SÃO COMPRADOS PELA GLOBOSTA, UOL E OUTRAS FACÇÕES, TEM QUE TER VOTO IMPRESSO SE NÃO VAMOS TER UM CACHACEIRO LADRÃO COMO PRESIDENTE.",1950_moreno,1950_moreno,0
1578475768480665600,Fri Oct 07 20:02:04 +0000 2022,Se Bolsonaro for reeleito é certa a implementação do voto impresso auditável a partir das eleições municipais de 2024. Mais uma explicação para o desespero da esquerdalha.,1950_moreno,EdRaposo_,0
1578477864714137600,Fri Oct 07 20:10:24 +0000 2022,"SABEMOS QUE ESQUERDISTAS NÃO QUEREM O VOTO IMPRESSO PARA ELEGEREM PICARETAS COMO BOULOS, FREIXO, GLEISE HOFMAN, HUMBERTO COSTA, ALCOLUMBRE, JANDIRA FEGALLY, BENEDITA DA SILVA TALIRIA PERRONE E OUTROS PICARETAS.",1950_moreno,1950_moreno,0
1578561215810260993,Sat Oct 08 01:41:36 +0000 2022,"Pessoal deixei o link para vcs votarem para ter voto auditavel,não deixem de votar!!!! https://t.co/ekJPUx5ail",1950_moreno,Alexandra121723,0
1579493733027827712,Mon Oct 10 15:27:06 +0000 2022,"Presidente Bolsonaro falou com a imprensa ao chegar no Palácio da Alvorada.
Presidente falou sobre as urnas, voto impresso, eleições e mais.
09/10/2022
#Bolsonaro22 
📌Link https://t.co/bqAMcXXK7B https://t.co/G58S1Sd13e",1950_moreno,_TvBolsonaro_22,0
1579598567194636288,Mon Oct 10 22:23:40 +0000 2022,"NÃO ENTENDO QUE SABENDO QUE AS URNAS ELETRÔNICAS SÃO FRAUDAVEIS, O MINISTRO DA DEFESA COM SEUS CIBERNÉTICOS NÃO FIZERAM NADA, JÁ ESTÁ PROVADO QUE É FRAUDULENTAS SIM E COM PROVAS, TSE E STF NÃO QUER O VOTO IMPRESSO PARA ELEGEREM LULADRÃO E OUTROS PICARETAS QUE SÃO DA PANELINHAS.",1950_moreno,1950_moreno,0
1584980471150436352,Tue Oct 25 18:49:26 +0000 2022,"Por favor atenção Jair Bolsonaro,  generais das FFAA, General Heleno, Ministro da Justiça Anderson, PGR Aras, Magno Malta, Bia Kicis, Carla Zambelli, Helio Lopes, Filipe Barros e todos mais que estão na luta fielmente com nosso presidente. #salvador #bahia  #fraudeeleitoral https://t.co/KmWmB1upUK",1950_moreno,NETINHOOFICIAL3,0
1584982659712761856,Tue Oct 25 18:58:08 +0000 2022,"Xandão quer provas impressas pra denúncia das fraudes de inserções de rádios, mas eu não posso ter meu voto impresso.",1950_moreno,LucianaSV29,0
1585683145415852049,Thu Oct 27 17:21:37 +0000 2022,"Pergunta ao UOL: 
A urna eletrônica é urna ou software que grava votos/ dados  que são consolidados numa sala cofre? 
Inacreditável.",1950_moreno,fabiowoficial,0
